iSeq047_DNAamplicons			
Sample_ID	R1_file_name	R2_file_name	Amplicon_products
290920_PY01	01-290520PY01-MLH1-5_S141_L001_R1_001.fastq.gz	01-290520PY01-MLH1-5_S141_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
160620_MG_SDR1	02-16620MGSDR1-MLH1-5_S142_L001_R1_001.fastq.gz	02-16620MGSDR1-MLH1-5_S142_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
13320_MB_SDR1	03-13320-MB-SDR1-MLH1-5_S143_L001_R1_001.fastq.gz	03-13320-MB-SDR1-MLH1-5_S143_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
17320_FR_SDR1	04-17320-FR-SDR1-MLH1-5_S144_L001_R1_001.fastq.gz	04-17320-FR-SDR1-MLH1-5_S144_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
19320_MR_WSG1	05-19320-MR-WSG1-MLH1-5_S145_L001_R1_001.fastq.gz	05-19320-MR-WSG1-MLH1-5_S145_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
280520_PY01	06-280520PY01-MLH1-5_S146_L001_R1_001.fastq.gz	06-280520PY01-MLH1-5_S146_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
250620_PY01	07-25620MGWSG1-1-MLH1-5_S147_L001_R1_001.fastq.gz	07-25620MGWSG1-1-MLH1-5_S147_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
120320_MB_SDR2	08-12320-MB-SDR2-MLH1-5_S148_L001_R1_001.fastq.gz	08-12320-MB-SDR2-MLH1-5_S148_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
150720_MG_BB2	09-15720MGBB2-MLH1-5_S149_L001_R1_001.fastq.gz	09-15720MGBB2-MLH1-5_S149_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
250620_FG_WSG1	10-25620FGWSG1-MLH1-5_S150_L001_R1_001.fastq.gz	10-25620FGWSG1-MLH1-5_S150_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
100620_MG_BB1	11-10620MGBB1-MLH1-5_S151_L001_R1_001.fastq.gz	11-10620MGBB1-MLH1-5_S151_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
120320_MR_SDR1	12-12320-MR-SDR1-MLH1-5_S152_L001_R1_001.fastq.gz	12-12320-MR-SDR1-MLH1-5_S152_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
180320_MG_WSG1	13-18320-MG-WSG1-MLH1-5_S153_L001_R1_001.fastq.gz	13-18320-MG-WSG1-MLH1-5_S153_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
100720_MG_SDR1	14-10720MGSDR1-MLH1-5_S154_L001_R1_001.fastq.gz	14-10720MGSDR1-MLH1-5_S154_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
100720__MGSDR2	15-10720MGSDR2-MLH1-5_S155_L001_R1_001.fastq.gz	15-10720MGSDR2-MLH1-5_S155_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
210720_MG_WSG1	16-21720MGWSG1-MLH1-5_S156_L001_R1_001.fastq.gz	16-21720MGWSG1-MLH1-5_S156_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
110820_FG_WSG1	17-110820FGWSG1-MLH1-5_S157_L001_R1_001.fastq.gz	17-110820FGWSG1-MLH1-5_S157_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
120820_MG_WSG1	18-12820MGWSG1-MLH1-5_S158_L001_R1_001.fastq.gz	18-12820MGWSG1-MLH1-5_S158_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
130820_MG_WSG1	19-13820MG-WSG1-MLH1-5_S159_L001_R1_001.fastq.gz	19-13820MG-WSG1-MLH1-5_S159_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
190820_MB_SDR1	20-19820MBSDR1-MLH1-5_S160_L001_R1_001.fastq.gz	20-19820MBSDR1-MLH1-5_S160_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
030920_MB_SDR1	21-3920MBSDR1-MLH1-5_S161_L001_R1_001.fastq.gz	21-3920MBSDR1-MLH1-5_S161_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
100920_PY01	22-100920PY01-MLH1-5_S162_L001_R1_001.fastq.gz	22-100920PY01-MLH1-5_S162_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
170920_FB_SDR1	23-17920FBSDRMary-MLH1-5_S163_L001_R1_001.fastq.gz	23-17920FBSDRMary-MLH1-5_S163_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
220920_PY01	24-22920FGPYRAVB1-MLH1-5_S164_L001_R1_001.fastq.gz	24-22920FGPYRAVB1-MLH1-5_S164_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
290920_PY01	25-290920PY01-MLH1-5_S165_L001_R1_001.fastq.gz	25-290920PY01-MLH1-5_S165_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
121020_PY01	26-121020PY01-MLH1-5_S166_L001_R1_001.fastq.gz	26-121020PY01-MLH1-5_S166_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
150121_PY01	27-150121PY01-MLH1-5_S167_L001_R1_001.fastq.gz	27-150121PY01-MLH1-5_S167_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
090421_PY01	28-090421PY01-MLH1-5_S168_L001_R1_001.fastq.gz	28-090421PY01-MLH1-5_S168_L001_R2_001.fastq.gz	MLH1_chr9:191445496-191445733
